ParameterName	ParameterValue
environmentFileName	sphere.xml
generalizedScenario	0
indoorSwitch	1
mobilitySwitch	0
mobilityType	1
numberOfNodes	3
numberOfTimeDivisions	10
referrencePoint	[3,3,2]
selectPlanesByDist	0
switchQDGenerator	0
switchRandomization	0
switchVisuals	1
totalNumberOfReflections	1
totalTimeDuration	1
