2.2609,17.5,1.6,3.5187,0,1.6,4.8843,19,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,2.5069,19,1.6,5.6229,0,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,1.5615,19,1.6,0,15.651,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,2.5802,19,1.331,4.1599,11.579,0,6.0589,2.6582,1.6
2.2609,17.5,1.6,3.2428,19,1.6,10,8.6783,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,2.5802,19,1.8354,4.1599,11.579,3,6.0589,2.6582,1.6
2.2609,17.5,1.6,0,12.022,1.6,4.9618,0,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,0,15.429,1.6,10,6.2685,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,-4.4409e-16,13.467,2.3609,1.899,10.079,3,6.0589,2.6582,1.6
2.2609,17.5,1.6,0,13.467,0.7304,1.899,10.079,0,6.0589,2.6582,1.6
2.2609,17.5,1.6,3.2737,13.542,0,5.1727,6.1213,3,6.0589,2.6582,1.6
2.2609,17.5,1.6,4.1599,7.4209,-2.2204e-16,5.5581,0,1.178,6.0589,2.6582,1.6
2.2609,17.5,1.6,8.101,10.079,0,10,7.6661,0.52026,6.0589,2.6582,1.6
2.2609,17.5,1.6,10,12.673,1.6,0,6.4369,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,10,4.1436,1.6,7.5991,0,1.6,6.0589,2.6582,1.6
2.2609,17.5,1.6,4.1599,7.4209,3,5.5581,0,1.9692,6.0589,2.6582,1.6
2.2609,17.5,1.6,3.1471,14.037,3,5.0461,6.616,0,6.0589,2.6582,1.6
2.2609,17.5,1.6,8.101,10.079,3,10,7.6661,2.5448,6.0589,2.6582,1.6
