ParameterName	ParameterValue
environmentFileName	Box.xml
generalizedScenario	0
indoorSwitch	1
mobilitySwitch	0
mobilityType	1
numberOfNodes	2
numberOfTimeDivisions	10
referrencePoint	[3,3,2]
selectPlanesByDist	0
switchQDGenerator	0
switchRandomization	1
switchVisuals	0
totalNumberOfReflections	2
totalTimeDuration	1
