ParameterName	ParameterValue
environmentFileName	L-Room.xml
generalizedScenario	0
indoorSwitch	1
numberOfTimeDivisions	200
referencePoint	[0,0,0]
selectPlanesByDist	0
switchQDGenerator	0
totalNumberOfReflections	1
totalTimeDuration	1
switchSaveVisualizerFiles	1
carrierFrequency	60e9
qdFilesFloatPrecision	6
useOptimizedOutputToFile	1
outputFormat	json
