ParameterName	ParameterValue
environmentFileName	OpenAreaHotspot.xml
indoorSwitch	0
numberOfTimeDivisions	1
referencePoint	[0,0,0]
selectPlanesByDist	inf
switchDiffuseComponent	1
switchQDModel	tgayMeasurements
totalNumberOfReflections	2
totalTimeDuration	1
switchSaveVisualizerFiles	1
carrierFrequency	60e9
qdFilesFloatPrecision	6
outputFormat	json
materialLibraryPath	material_libraries/materialLibraryOpenAreaHotspot.csv
