ParameterName	ParameterValue
environmentFileName	LivingRoom.xml
indoorSwitch	1
numberOfTimeDivisions	1
referencePoint	[0,0,0]
selectPlanesByDist	inf
switchDiffuseComponent	1
switchQDModel	tgayMeasurements
totalNumberOfReflections	2
totalTimeDuration	1
switchSaveVisualizerFiles	1
carrierFrequency	60e9
qdFilesFloatPrecision	6
useOptimizedOutputToFile	1
outputFormat	json
materialLibraryPath	material_libraries/materialLibraryLivingRoom.csv
