Reflector,s_K_Precursor,sigma_K_Precursor,s_K_Postcursor,sigma_K_Postcursor,s_gamma_Precursor,sigma_gamma_Precursor,s_gamma_Postcursor,sigma_gamma_Postcursor,s_sigmaS_Precursor,sigma_sigmaS_Precursor,s_sigmaS_Postcursor,sigma_sigmaS_Postcursor,s_lambda_Precursor,sigma_lambda_Precursor,s_lambda_Postcursor,sigma_lambda_Postcursor,s_sigmaAlphaAz,sigma_sigmaAlphaAz,s_sigmaAlphaEl,sigma_sigmaAlphaEl,s_RL,sigma_RL,mu_RL
RightWall,0,0,1.3683,3.5447,0,0,0.0244,0.5672,0,0,0.00034296,0.2627,0,0,0.5976,0.9445,1.4976,1.1560,2.5827,1.8301,10.3665,3.2053,10.39
BottomWall,0,0,5.0151,2.9512,0,0,0.6431,0.5055,0,0,0.2994,0.3009,0,0,0.6744,1.2628,0.9009,1.6132,1.8666,0.8217,9.7019,1.5320,9.63
TopWall,0,0,0.7246,4.0879,0,0,0.6789,0.5615,0,0,0.2380,0.1417,0,0,1.3547,0.6330,1.4820,0.5157,2.8287,1.0188,10.4244,1.0672,10.49
Ceiling,0,0,5.8138,2.3054,0,0,0.0611,1.2127,0,0,0.417,0.2323,0,0,0.2950,0.3887,0.9837,2.4942,0.3053,3.8988,7.1481,0.9299,7.17
