Reflector,s_K_Precursor,sigma_K_Precursor,s_K_Postcursor,sigma_K_Postcursor,s_gamma_Precursor,sigma_gamma_Precursor,s_gamma_Postcursor,sigma_gamma_Postcursor,s_sigmaS_Precursor,sigma_sigmaS_Precursor,s_sigmaS_Postcursor,sigma_sigmaS_Postcursor,s_lambda_Precursor,sigma_lambda_Precursor,s_lambda_Postcursor,sigma_lambda_Postcursor,s_sigmaAlphaAz,sigma_sigmaAlphaAz,s_sigmaAlphaEl,sigma_sigmaAlphaEl,s_RL,sigma_RL,mu_RL
LeftWallAll,0,0,2.4809,4.1325,0,0,0.0657,0.4990,0,0,0.2507,0.3352,0,0,0.7575,0.9467,2.8673,1.6418,2.7213,1.5636,9.7453,1.449,9.84
BottomWall,1.4809,2.1325,7.1809,2.5325,0.9006,0.2325,0.6881,0.3566,0.5553,0.1290,0.26,0.1003,0.9172,0.2241,1.4106,0.5832,1.9426,1.5726,2.6946,1.3948,8.5025,4.2343,9.67
RightWallAll,0,0,6.8537,2.6693,0,0,0.9087,0.7050,0,0,0.4829,0.1535,0,0,0.7980,0.1892,2.0128,1.3335,3.0168,1.4044,7.1224,2.4928,7.52
Ceiling,0,0,9.5072,1.3751,0,0,0.4131,0.087,0,0,0.1475,0.0905,0,0,0.5866,0.0161,0.1264,1.8864,3.3293,1.9328,0.3581,3.9809,5
