Reflector,Material,RelativePermittivity
Ceiling,Pasterboard,6.25+0.3j
Walls,Concrete,4+0.2j
Floor,Concrete,4+0.2j
Cubicles,Wood,1.5761-0.0962j
Tables,Wood,1.5761-0.0962j
Chairs,Wood,1.5761-0.0962j
