Reflector,s_K_Precursor,sigma_K_Precursor,s_K_Postcursor,sigma_K_Postcursor,s_gamma_Precursor,sigma_gamma_Precursor,s_gamma_Postcursor,sigma_gamma_Postcursor,s_sigmaS_Precursor,sigma_sigmaS_Precursor,s_sigmaS_Postcursor,sigma_sigmaS_Postcursor,s_lambda_Precursor,sigma_lambda_Precursor,s_lambda_Postcursor,sigma_lambda_Postcursor,s_sigmaAlphaAz,sigma_sigmaAlphaAz,s_sigmaAlphaEl,sigma_sigmaAlphaEl,s_RL,sigma_RL,mu_RL
LeftWall,5.1196,1.7485,6.2208,3.5421,0.6742,0.9992,0.0658,1.2034,0.0119,0.3087,0.4144,0.1507,0.9775,0.3449,0.8153,0.6948,0.1016,2.2504,2.9947,1.6613,9.8412,3.4424,10.70
RightWall,0,0,3.8093,3.1959,0,0,0.0385,0.6196,0,0,0.0112,0.3527,0,0,1.3334,0.3826,0.0308,2.0954,0.1579,2.7657,9.6326,1.4199,9.80
TopWall,0.4571,4.0071,0.3192,4.0399,0.4986,0.4592,1.3135,0.8340,0.0144,0.3136,0.2375,0.1881,0.8731,0.2055,1.3381,0.7699,2.1781,1.6141,2.098,1.0354,10.17,1.212,10.23
Ceiling,0,0,10.0910,2.3083,0,0,0.917,0.9121,0,0,0.4554,0.4103,0,0,0.7722,0.3056,0.7071,1.6035,2.2345,2.2679,0.2743,4.9878,6.2
