Reflector,Material,RelativePermittivity
Ceiling,Pasterboard,6.25+0.3j
Walls,Concrete,4+0.2j
Floor,Concrete,4+0.2j
Door,Wood,1.5761-0.0962j
Window,Glass,5.2839-0.2538j
Table,Wood,1.5761-0.0962j
Chairs,Wood,1.5761-0.0962j
