Reflector,n_Precursor,n_Postcursor,s_K_Precursor,sigma_K_Precursor,s_K_Postcursor,sigma_K_Postcursor,s_gamma_Precursor,sigma_gamma_Precursor,s_gamma_Postcursor,sigma_gamma_Postcursor,s_sigmaS_Precursor,sigma_sigmaS_Precursor,s_sigmaS_Postcursor,sigma_sigmaS_Postcursor,s_lambda_Precursor,sigma_lambda_Precursor,s_lambda_Postcursor,sigma_lambda_Postcursor,s_sigmaAlphaAz,sigma_sigmaAlphaAz,s_sigmaAlphaEl,sigma_sigmaAlphaEl,s_RL,sigma_RL,mu_RL
BuildingA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,2.68,11.97
BuildingB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,1.68,8.52
BuildingB2,3,16,0.18,2.89,0.13,2.67,0.54,13.66,1.02,22.44,0.73,0.23,0.61,0.29,0,0.2,0.05,0.04,6.81,2.12,2.18,0.57,18.93,1.9,19.02
BuildingC,3,16,1.28,9.21,1.35,2.11,0.37,8.18,5.62,34.56,0.05,0.58,0.54,0.1,0,0.25,0.12,0.06,6.24,2.15,3.11,1.96,12.51,3.6,13.04
BuildingD1,3,16,3.23,0.72,2.43,1.23,7.22,2.38,34.11,7.87,1.45,0.36,0.84,0.11,0.33,0.06,0.3,0.07,7.38,0.91,2.5,0.82,7.04,1.59,7.22
BuildingD2,3,16,1.48,3.43,0.13,1.87,0.92,16.35,1.03,12.84,0.71,0.25,0.6,0.15,0.08,0.04,0.07,0.08,4.61,0.68,1.89,0.54,21.49,1.92,21.57
LeftandBottomTopCar,3,16,6.04,1.98,0.08,1.54,14.48,3.31,1.52,15.53,0.65,0.26,0.49,0.21,0,0.14,0.06,0.04,3.16,6.94,0.38,3.81,21.4,1.93,21.49
BottomBottomCar,3,16,0.63,4.79,0.27,1.81,0.62,9.71,10.56,3.48,0.85,0.24,0.78,0.22,0.1,0.05,0.16,0.06,9.68,4.83,4,1.3,20.05,4.5,20.56
TopCar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0.93,20.58
